event_id	modified_uniprot	partner_uniprot	interface_signature_size	interface_contact_count	structure_complexes	interface_cluster_id
event_00215	P29374	P06400	42	16	Complex1248	interface_cluster_124
event_00216	P29374	P06400	42	16	Complex1248	interface_cluster_124
event_00217	P56211	P67775	22	9	Complex1849	interface_cluster_125
event_00218	P49407	P20963	45	22	Complex1685	interface_cluster_126
event_00219	P32121	Q9Y4K3	45	21	Complex1346	interface_cluster_127
event_00220	Q9ULH1	Q92538	0	0		interface_cluster_128
event_00221	Q8TDY4	P62993	39	14	Complex3035	interface_cluster_129
event_00222	Q9Y294	Q13111	59	27	Complex3686	interface_cluster_130
event_00223	Q9Y294	P68431	37	22	Complex3687	interface_cluster_131
event_00224	Q9Y294	Q14676	36	13	Complex3685	interface_cluster_132
event_00225	Q9Y294	Q6ZRQ5	59	28	Complex3688	interface_cluster_133
event_00226	Q96QE3	O60885	29	10	Complex3206	interface_cluster_134
event_00227	P18846	Q92793	44	17	Complex1088	interface_cluster_135
event_00228	P18846	Q92793	44	17	Complex1088	interface_cluster_135
event_00229	P18846	Q13526	30	15	Complex1090	interface_cluster_136
event_00230	P18850	Q15125	48	25	Complex1091	interface_cluster_137
event_00231	Q9Y4P1	P36542	28	11	Complex3712	interface_cluster_138
event_00232	Q9Y4P1	Q9GZQ8	133	87	Complex3327,Complex3713	interface_cluster_139
event_00233	Q7Z3C6	P63104	56	25	Complex2894	interface_cluster_140
event_00234	Q13315	Q14676	48	18	Complex2375	interface_cluster_141
event_00235	Q13315	Q99801	67	62	Complex2376,Complex3268	interface_cluster_142
event_00236	Q13315	P14618	61	30	Complex2377	interface_cluster_143
event_00237	Q9UII2	P24539	46	18	Complex3563	interface_cluster_144
event_00238	Q13535	P55957	60	26	Complex2424	interface_cluster_145
event_00239	Q13535	Q92547	52	21	Complex2426	interface_cluster_146
event_00240	Q13535	P23025	62	33	Complex2425	interface_cluster_147
event_00241	Q8WXE1	P38398	77	30	Complex3064	interface_cluster_148
event_00242	P54253	Q96I25	38	16	Complex1829	interface_cluster_149
event_00243	P54253	Q96I25	38	16	Complex1829	interface_cluster_149
event_00244	P54253	P26368	21	10	Complex1831	interface_cluster_150
event_00245	P54253	P31946	36	16	Complex1824	interface_cluster_151
event_00246	P54253	P62258	29	11	Complex1825	interface_cluster_152
event_00247	P54253	P63104	48	20	Complex1826	interface_cluster_153
event_00248	P54253	P63104	48	20	Complex1826	interface_cluster_153
event_00249	P54253	P63104	48	20	Complex1826	interface_cluster_153
event_00250	Q9UBB4	P53350	43	20	Complex3523	interface_cluster_154
event_00251	P30530	P62993	110	68	Complex1302_1,Complex1302_2,Complex1302_3,Complex1302_4,Complex1302_5	interface_cluster_155
event_00252	P30530	P27986	101	57	Complex1303_1,Complex1303_2,Complex1303_3,Complex1303_4,Complex1303_5,Complex1303_6	interface_cluster_155
event_00253	P30530	O00459	106	68	Complex1304_1,Complex1304_2,Complex1304_3,Complex1304_4,Complex1304_5,Complex1304_6	interface_cluster_155
event_00254	P30530	P19174	84	41	Complex1305	interface_cluster_156
event_00255	Q9NWV8	O95271	58	26	Complex3470	interface_cluster_157
event_00256	Q9NWV8	Q96RL1	185	89	Complex3469	interface_cluster_158
event_00257	P56817	Q6VY07	54	26	Complex1852	interface_cluster_159
event_00258	Q92934	P63104	77	37	Complex3111	interface_cluster_160
event_00259	Q9UQB8	P27348	0	0		interface_cluster_161
event_00260	Q9UQB8	P63104	210	151	Complex3627	interface_cluster_162
event_00261	Q9UQB8	P63104	210	151	Complex3627	interface_cluster_162
event_00262	Q9UHR4	P04637	60	23	Complex3562	interface_cluster_163
event_00263	Q16611	Q16611	1	0	Complex546	interface_cluster_164
event_00264	Q16611	Q16611	1	0	Complex546	interface_cluster_165
event_00265	Q16611	P55957	0	0		interface_cluster_166
event_00266	O75531	O75531	65	920	Complex1724,Complex300_10,Complex300_11,Complex300_12,Complex300_13,Complex300_14,Complex300_15,Complex300_16,Complex300_17,Complex300_18,Complex300_19,Complex300_2,Complex300_3,Complex300_4,Complex300_5,Complex300_6,Complex300_7,Complex300_8,Complex300_9,Complex3696	interface_cluster_167
event_00267	Q92560	P85037	81	37	Complex3082	interface_cluster_168
event_00268	Q92560	Q01167	61	29	Complex3083	interface_cluster_169
event_00269	Q9BXH1	Q9Y5U8	39	24	Complex3299	interface_cluster_170
event_00270	Q9BXH1	Q9Y5U8	39	24	Complex3299	interface_cluster_170
event_00271	P56945	Q05397	29	12	Complex1853	interface_cluster_171
event_00272	P56945	Q05209	101	43	Complex1854	interface_cluster_172
event_00273	O95999	P20749	45	21	Complex404	interface_cluster_173
event_00274	O95999	P20749	45	21	Complex404	interface_cluster_173
event_00275	O95999	Q9Y6K9	63	28	Complex399	interface_cluster_174
event_00276	O95999	Q9Y6K9	63	28	Complex399	interface_cluster_174
event_00277	O95999	Q9Y6K9	63	28	Complex399	interface_cluster_174
event_00278	O95999	Q9Y6K9	63	28	Complex399	interface_cluster_174
event_00279	O95999	Q9Y6K9	63	28	Complex399	interface_cluster_174
event_00280	Q9C0K0	Q13330	72	29	Complex3325	interface_cluster_175
event_00281	Q9C0K0	Q9BTC8	69	29	Complex3326	interface_cluster_176
event_00282	P10415	Q07812	327	404	Complex861	interface_cluster_177
event_00283	P10415	Q14457	72	33	Complex2492,Complex859	interface_cluster_178
event_00284	P10415	Q14457	72	33	Complex2492,Complex859	interface_cluster_178
event_00285	P10415	Q14457	72	33	Complex2492,Complex859	interface_cluster_178
event_00286	P10415	Q14457	72	33	Complex2492,Complex859	interface_cluster_178
event_00287	P10415	Q14457	72	33	Complex2492,Complex859	interface_cluster_178
event_00288	P10415	Q14457	72	33	Complex2492,Complex859	interface_cluster_178
event_00289	P10415	Q13526	33	14	Complex866	interface_cluster_179
event_00290	Q07817	Q16611	59	39	Complex2222	interface_cluster_180
event_00291	Q07817	Q07812	332	404	Complex2223	interface_cluster_177
event_00292	Q07817	Q07812	332	404	Complex2223	interface_cluster_177
event_00293	Q07817	P06493	45	24	Complex2225	interface_cluster_181
event_00294	Q07817	Q8N8N0	28	9	Complex2226	interface_cluster_182
event_00295	O43521	Q14457	42	17	Complex149	interface_cluster_183
event_00296	O43521	Q14457	42	17	Complex149	interface_cluster_183
event_00297	O43521	Q9Y297	59	26	Complex152	interface_cluster_184
event_00298	O43521	Q9Y297	59	26	Complex152	interface_cluster_184
event_00299	O43521	Q9Y297	59	26	Complex152	interface_cluster_184
event_00300	O43521	P63167	39	17	Complex150	interface_cluster_185
event_00301	O43521	P63167	39	17	Complex150	interface_cluster_185
event_00302	O43521	Q07820	145	88	Complex151,Complex2227	interface_cluster_186
event_00303	P11274	P62993	119	99	Complex902_1,Complex902_2,Complex902_3,Complex902_4,Complex902_5	interface_cluster_187
event_00304	A9UF07	P62993	1	0	Complex1	interface_cluster_188
event_00305	Q14457	Q6ZNE5	80	38	Complex2501	interface_cluster_189
event_00306	Q14457	Q6ZNE5	80	38	Complex2501	interface_cluster_189
event_00307	Q14457	P10415	67	33	Complex2492,Complex859	interface_cluster_190
event_00308	Q14457	P10415	67	33	Complex2492,Complex859	interface_cluster_190
event_00309	Q14457	P10415	67	33	Complex2492,Complex859	interface_cluster_190
event_00310	Q14457	P10415	67	33	Complex2492,Complex859	interface_cluster_190
event_00311	Q14457	Q07817	0	0		interface_cluster_191
event_00312	Q14457	Q07817	0	0		interface_cluster_192
event_00313	Q14457	Q14457	31	16	Complex149,Complex1975,Complex2492,Complex2493,Complex2499,Complex2501,Complex2502,Complex2505,Complex2506,Complex3161,Complex859	interface_cluster_193
event_00314	Q14457	Q8NEB9	42	19	Complex2505	interface_cluster_194
event_00315	Q14457	Q8NEB9	42	19	Complex2505	interface_cluster_194
event_00316	Q14457	Q92622	51	21	Complex2506	interface_cluster_195
event_00317	Q14457	Q92622	51	21	Complex2506	interface_cluster_195
event_00318	Q14457	Q92622	51	21	Complex2506	interface_cluster_195
event_00319	Q14457	Q92622	51	21	Complex2506	interface_cluster_195
event_00320	Q14457	Q9UPY5	36	19	Complex2493	interface_cluster_196
event_00321	Q14457	Q9UPY5	36	19	Complex2493	interface_cluster_196
event_00322	Q14457	Q9UPY5	36	19	Complex2493	interface_cluster_196
event_00323	Q14457	Q9P2Y5	169	77	Complex2502	interface_cluster_197
event_00324	O76090	P61981	33	12	Complex316	interface_cluster_198
event_00325	Q13323	P10415	49	25	Complex2379	interface_cluster_199
event_00326	Q13323	P10415	49	25	Complex2379	interface_cluster_199
event_00327	Q13323	Q07817	40	21	Complex2380	interface_cluster_200
event_00328	Q13323	Q07817	40	21	Complex2380	interface_cluster_200
event_00329	O00499	P10636	1	0	Complex16	interface_cluster_201
event_00330	O15392	O15392	49	58	Complex104,Complex105,Complex106,Complex107,Complex108_1,Complex108_6,Complex109,Complex1989	interface_cluster_202
event_00331	O15392	P55211	40	20	Complex105	interface_cluster_203
event_00332	O15392	Q53HL2	60	30	Complex106	interface_cluster_204
event_00333	O15392	P40763	38	20	Complex109	interface_cluster_205
event_00334	O15392	P98170	58	26	Complex104	interface_cluster_206
event_00335	O15392	O14980	26	12	Complex107	interface_cluster_202
event_00336	P54132	Q13618	69	30	Complex1821	interface_cluster_207
event_00337	P54132	P19338	79	41	Complex1822	interface_cluster_208
event_00338	P54132	P29590	56	22	Complex1814	interface_cluster_209
event_00339	P54132	P29590	56	22	Complex1814	interface_cluster_209
event_00340	P54132	Q13472	43	16	Complex1815	interface_cluster_210
event_00341	P54132	Q92547	52	19	Complex1819	interface_cluster_211
event_00342	P54132	Q92547	52	19	Complex1819	interface_cluster_211
event_00343	P54132	Q96RL1	64	23	Complex1816	interface_cluster_212
event_00344	P54132	Q96RL1	64	23	Complex1816	interface_cluster_212
event_00345	P54132	Q96RL1	64	23	Complex1816	interface_cluster_212
event_00346	Q8WV28	P31947	60	32	Complex3054	interface_cluster_213
event_00347	Q8WV28	P31947	60	32	Complex3054	interface_cluster_213
event_00348	Q8WV28	P61981	61	28	Complex3053	interface_cluster_214
event_00349	Q8WV28	P61981	61	28	Complex3053	interface_cluster_214
event_00350	Q8WV28	P63104	47	19	Complex3055	interface_cluster_215
event_00351	Q8WV28	P63104	47	19	Complex3055	interface_cluster_215
event_00352	O60238	Q9GZQ8	41	23	Complex205	interface_cluster_216
event_00353	O60238	Q9GZQ8	41	23	Complex205	interface_cluster_216
event_00354	Q6PGQ7	Q14676	69	29	Complex2877	interface_cluster_217
event_00355	Q6PGQ7	Q13526	66	29	Complex2419	interface_cluster_218
event_00356	Q6PGQ7	Q13526	66	29	Complex2419	interface_cluster_218
event_00357	P15056	Q8IVT5	545	383	Complex982	interface_cluster_219
event_00358	P15056	Q02750	0	0		interface_cluster_220
event_00359	P15056	P01111	37	15	Complex473	interface_cluster_221
event_00360	P15056	P04049	608	699	Complex983	interface_cluster_222
event_00361	P15056	P31946	71	32	Complex981	interface_cluster_223
event_00362	P38398	Q13526	62	29	Complex1476	interface_cluster_224
event_00363	P38398	Q13526	62	29	Complex1476	interface_cluster_224
event_00364	P51587	Q7Z406	86	37	Complex1742	interface_cluster_225
event_00365	P51587	P53350	94	44	Complex1741	interface_cluster_226
event_00366	P51587	P53350	94	44	Complex1741	interface_cluster_226
event_00367	P51587	Q06609	0	0		interface_cluster_227
event_00368	P51587	Q06609	0	0		interface_cluster_228
event_00369	P51587	Q06609	0	0		interface_cluster_229
event_00370	O60885	P50750	20	9	Complex248	interface_cluster_230
event_00371	O60885	Q13526	41	16	Complex249	interface_cluster_231
event_00372	Q92994	Q12789	78	36	Complex3115	interface_cluster_232
event_00373	Q9BX63	P38398	66	32	Complex3296	interface_cluster_233
event_00374	Q9BX63	Q92547	57	22	Complex3297	interface_cluster_234
event_00375	Q9HCU9	P62258	67	34	Complex3418	interface_cluster_235
event_00376	P62324	Q13111	48	20	Complex1896	interface_cluster_236
event_00377	Q06187	P63104	54	28	Complex2211	interface_cluster_237
event_00378	Q06187	P63104	54	28	Complex2211	interface_cluster_237
event_00379	O43683	P53350	77	32	Complex186	interface_cluster_238
event_00380	O60566	P53350	56	25	Complex234	interface_cluster_239
event_00381	O60566	P67775	21	7	Complex235	interface_cluster_240
event_00382	O60566	P67775	21	7	Complex235	interface_cluster_240
event_00383	O43684	Q9NPF5	78	36	Complex188	interface_cluster_241
event_00384	O43684	Q8NG31	29	10	Complex187	interface_cluster_242
event_00385	Q96GX8	Q08209	54	22	Complex3185	interface_cluster_243
event_00386	Q9BSF0	P17612	52	21	Complex3290	interface_cluster_244
event_00387	Q16581	P32121	81	39	Complex2723	interface_cluster_245
event_00388	Q16581	P32121	81	39	Complex2723	interface_cluster_245
event_00389	Q16581	P32121	81	39	Complex2723	interface_cluster_245
event_00390	Q16581	P32121	81	39	Complex2723	interface_cluster_245
event_00391	Q16581	P32121	81	39	Complex2723	interface_cluster_245
event_00392	Q05682	P68133	83	38	Complex2209	interface_cluster_246
event_00393	P0DP23	Q9Y210	80	42	Complex835	interface_cluster_247
event_00394	Q9UQM7	Q13224	76	35	Complex3681	interface_cluster_248
event_00395	Q9UQM7	Q13224	76	35	Complex3681	interface_cluster_248
event_00396	Q9UQM7	Q13224	76	35	Complex3681	interface_cluster_248
